reason,n,field,contrast,year
item_unknown,85819,bmi,prepregnancy,2017
observed_edited,3538138,bmi,prepregnancy,2017
observed_edited,3623957,prior_preterm,prepregnancy,2017
observed_edited,3623957,prior_cesarean,prepregnancy,2017
item_unknown,6240,nativity,prepregnancy,2017
observed_edited,3617717,nativity,prepregnancy,2017
item_unknown,29319,race_ethnicity,prepregnancy,2018
observed_edited,3532761,race_ethnicity,prepregnancy,2018
observed_edited,3562080,prepreg_diabetes,prepregnancy,2018
item_unknown,5711,prior_living4,prepregnancy,2018
observed_edited,3556369,prior_living4,prepregnancy,2018
item_unknown,42756,education4,prepregnancy,2018
observed_edited,3519324,education4,prepregnancy,2018
item_unknown,75768,bmi,prepregnancy,2018
observed_edited,3486312,bmi,prepregnancy,2018
observed_edited,3562080,prior_preterm,prepregnancy,2018
observed_edited,3562080,prior_cesarean,prepregnancy,2018
item_unknown,6139,nativity,prepregnancy,2018
observed_edited,3555941,nativity,prepregnancy,2018
item_unknown,31001,race_ethnicity,prepregnancy,2019
observed_edited,3484397,race_ethnicity,prepregnancy,2019
observed_edited,3515398,prepreg_diabetes,prepregnancy,2019
item_unknown,3966,prior_living4,prepregnancy,2019
observed_edited,3511432,prior_living4,prepregnancy,2019
item_unknown,47200,education4,prepregnancy,2019
observed_edited,3468198,education4,prepregnancy,2019
item_unknown,75843,bmi,prepregnancy,2019
observed_edited,3439555,bmi,prepregnancy,2019
observed_edited,3515398,prior_preterm,prepregnancy,2019
observed_edited,3515398,prior_cesarean,prepregnancy,2019
item_unknown,6352,nativity,prepregnancy,2019
observed_edited,3509046,nativity,prepregnancy,2019
item_unknown,29339,race_ethnicity,prepregnancy,2020
observed_edited,3356028,race_ethnicity,prepregnancy,2020
observed_edited,3385367,prepreg_diabetes,prepregnancy,2020
item_unknown,3209,prior_living4,prepregnancy,2020
observed_edited,3382158,prior_living4,prepregnancy,2020
item_unknown,45013,education4,prepregnancy,2020
observed_edited,3340354,education4,prepregnancy,2020
item_unknown,61442,bmi,prepregnancy,2020
observed_edited,3323925,bmi,prepregnancy,2020
observed_edited,3385367,prior_preterm,prepregnancy,2020
observed_edited,3385367,prior_cesarean,prepregnancy,2020
item_unknown,6025,nativity,prepregnancy,2020
observed_edited,3379342,nativity,prepregnancy,2020
item_unknown,31131,race_ethnicity,prepregnancy,2021
observed_edited,3392987,race_ethnicity,prepregnancy,2021
observed_edited,3424118,prepreg_diabetes,prepregnancy,2021
item_unknown,4116,prior_living4,prepregnancy,2021
observed_edited,3420002,prior_living4,prepregnancy,2021
item_unknown,48751,education4,prepregnancy,2021
observed_edited,3375367,education4,prepregnancy,2021
item_unknown,63291,bmi,prepregnancy,2021
observed_edited,3360827,bmi,prepregnancy,2021
observed_edited,3424118,prior_preterm,prepregnancy,2021
observed_edited,3424118,prior_cesarean,prepregnancy,2021
item_unknown,6604,nativity,prepregnancy,2021
observed_edited,3417514,nativity,prepregnancy,2021
item_unknown,29839,race_ethnicity,prepregnancy,2022
observed_edited,3389220,race_ethnicity,prepregnancy,2022
