"age","target_n","risk0","risk1","rd","rr","se_risk0","se_risk1","se_rd","se_log_rr","risk0_lower","risk0_upper","risk1_lower","risk1_upper","rd_lower","rd_upper","rr_lower","rr_upper","risk0_per1000","risk1_per1000","rd_per1000","risk0_lower_per1000","risk0_upper_per1000","risk1_lower_per1000","risk1_upper_per1000","rd_lower_per1000","rd_upper_per1000","rd_bonferroni_lower_per1000","rd_bonferroni_upper_per1000","sparse_age_arm","contrast","covariance"
44,1704,0.156524198182174,0.166562245061106,0.0100380468789317,1.06413095863458,0.00581422769870887,0.00335747421806634,0.00671658749519588,0.042278474210116,0.145463310845746,0.168260537784074,0.160085304752372,0.173247184937806,-0.00312622271066428,0.0232023164685277,0.979507071617303,1.15606587225025,156.524198182174,166.562245061106,10.0380468789317,145.463310845746,168.260537784074,160.085304752372,173.247184937806,-3.12622271066428,23.2023164685277,-11.0787718023388,31.1548655602022,FALSE,"primary","HC0"
15,1199,0.0734404297710499,0.0660305102503666,-0.00740991952068325,0.899102993490321,0.00341019302015605,0.00211862153825496,0.00401209162384651,0.0564032028424818,0.0670303017523301,0.0804107268551543,0.0619974585448544,0.070306255048887,-0.0152734746060972,0.000453635564730739,0.805005690414124,1.00419935228954,73.4404297710499,66.0305102503666,-7.40991952068325,67.0303017523301,80.4107268551543,61.9974585448544,70.306255048887,-15.2734746060972,0.453635564730739,-20.0238564959716,5.20401745460514,FALSE,"primary","model"
16,4170,0.0746618017128306,0.0663652517528776,-0.00829654995995302,0.888878251400043,0.00270847758504866,0.00166931822838117,0.003179074427515,0.0441074867717775,0.0695237332950847,0.0801468853849656,0.0631674145566244,0.069712932011254,-0.0145274213420547,-0.00206567857785133,0.815263350552417,0.969140272620654,74.6618017128306,66.3652517528776,-8.29654995995302,69.5237332950847,80.1468853849656,63.1674145566244,69.712932011254,-14.5274213420547,-2.06567857785133,-18.2914972911856,1.69839737127955,FALSE,"primary","model"
17,11232,0.0764526841943331,0.0672535379842364,-0.00919914621009665,0.879675301043537,0.00204400205217888,0.00125230592222117,0.00239470410354158,0.0325462724213108,0.072541553017295,0.0805563711922577,0.0648402338969883,0.0697499639826972,-0.0138926800066684,-0.00450561241352488,0.825313522586497,0.937617782925562,76.4526841943331,67.2535379842364,-9.19914621009665,72.541553017295,80.5563711922577,64.8402338969883,69.7499639826972,-13.8926800066684,-4.50561241352488,-16.7280487049948,-1.67024371519851,FALSE,"primary","model"
18,29922,0.0795444104319302,0.0693544458879809,-0.0101899645439493,0.871895907096208,0.00146961379022737,0.000898094601060923,0.00172334431625589,0.0225759572904951,0.0767112487440684,0.0824728620554796,0.0676147523275011,0.0711354858551074,-0.0135676573367727,-0.006812271751126,0.834157289401643,0.911341880565987,79.5444104319302,69.3544458879809,-10.1899645439493,76.7112487440684,82.4728620554796,67.6147523275011,71.1354858551074,-13.5676573367727,-6.812271751126,-15.6081251020904,-4.7718039858083,FALSE,"primary","model"
19,60774,0.0822695345147566,0.0712305485254509,-0.0110389859893057,0.86581927253611,0.00102228328449365,0.000625433868197111,0.00120027948831372,0.0152400625658335,0.080287979223183,0.0842955133349762,0.0700144172968573,0.072466157610172,-0.0133914905577827,-0.00868648142082862,0.84033970500904,0.892071394730651,82.2695345147566,71.2305485254509,-11.0389859893057,80.287979223183,84.2955133349762,70.0144172968573,72.466157610172,-13.3914905577827,-8.68648142082862,-14.8126410395373,-7.26533093907399,FALSE,"primary","model"
20,82205,0.0817620645624278,0.0704407856599048,-0.011321278902523,0.861533842581985,0.000774482102604538,0.000469932566698593,0.00090904612985848,0.0116285538768294,0.0802568869100275,0.0832929146317689,0.0695252816392453,0.0713674203320809,-0.0131029765773311,-0.00953958122771486,0.842120227225301,0.881395005033529,81.7620645624278,70.4407856599048,-11.321278902523,80.2568869100275,83.2929146317689,69.5252816392453,71.3674203320809,-13.1029765773311,-9.53958122771486,-14.1793020148345,-8.46325579021151,FALSE,"primary","model"
21,96740,0.0811233524027495,0.0697588339123874,-0.0113645184903621,0.859910640354935,0.00073177872791134,0.000437923330533795,0.000856685148012507,0.011043182133576,0.0797006030669219,0.0825692207999384,0.0689053890713002,0.0706220475472141,-0.013043590526557,-0.00968544645416726,0.841498505831804,0.878725635602534,81.1233524027495,69.7588339123874,-11.3645184903621,79.7006030669219,82.5692207999384,68.9053890713002,70.622047547214,-13.043590526557,-9.68544645416726,-14.0579197079383,-8.67111727278597,FALSE,"primary","model"
22,110682,0.0798667752766716,0.0687653537967677,-0.0111014214799039,0.861000754801396,0.000713351289701946,0.00042516352976356,0.000834245603851973,0.0109158835787327,0.0784797609869426,0.081276140969545,0.0679367103237142,0.069603349699323,-0.0127365128177146,-0.00946633014209317,0.842775525848105,0.879620108833326,79.8667752766716,68.7653537967677,-11.1014214799039,78.4797609869426,81.276140969545,67.9367103237142,69.603349699323,-12.7365128177146,-9.46633014209317,-13.7242732129885,-8.47856974681927,FALSE,"primary","model"
23,119247,0.079156048694241,0.0684813553607576,-0.0106746933334834,0.86514368125275,0.00065437840276213,0.000390465854314242,0.000765992208313766,0.0100981343138706,0.0778829507928209,0.0804481414706313,0.0677200068785907,0.0692506275641562,-0.0121760104742167,-0.00917337619275012,0.848189110900073,0.882437158875221,79.156048694241,68.4813553607576,-10.6746933334834,77.8829507928209,80.4481414706313,67.7200068785907,69.2506275641562,-12.1760104742167,-9.17337619275012,-13.0829577364704,-8.26642893049642,FALSE,"primary","model"
24,125425,0.0788332024459232,0.068745039036947,-0.0100881634089762,0.872031541330617,0.000579279427000987,0.000343470234380109,0.000677998484735672,0.00894943825072933,0.0777052857188616,0.07997607154887,0.0680748949148188,0.069421288774697,-0.0114170160206309,-0.00875931079732159,0.856868974078298,0.887462415001578,78.8332024459232,68.745039036947,-10.0881634089762,77.7052857188616,79.97607154887,68.0748949148188,69.421288774697,-11.4170160206309,-8.75931079732159,-12.2197772796479,-7.95654953830458,FALSE,"primary","model"
25,130505,0.0794962242224151,0.0701014996430743,-0.00939472457934078,0.881821751017304,0.000544638397984575,0.000315849293040914,0.000634902880837596,0.00827298964093553,0.0784352793831404,0.080570265145727,0.0694849680561051,0.0707230858648177,-0.0106391113594632,-0.00815033779921836,0.867638521025732,0.896236833339218,79.4962242224151,70.1014996430743,-9.39472457934078,78.4352793831404,80.570265145727,69.4849680561051,70.7230858648177,-10.6391113594632,-8.15033779921836,-11.3908467208975,-7.39860243778401,FALSE,"primary","model"
26,131877,0.080711849195656,0.0721645058521461,-0.00854734334350986,0.894100514005199,0.000575379102835126,0.000327786627004484,0.000667965937854808,0.00853047437852332,0.0795912894772962,0.0818467822935368,0.0715246872829923,0.0728095990450063,-0.0098565325246048,-0.00723815416241492,0.879275944166014,0.909175025711184,80.711849195656,72.1645058521461,-8.54734334350986,79.5912894772962,81.8467822935368,71.5246872829923,72.8095990450063,-9.8565325246048,-7.23815416241492,-10.647415084559,-6.44727160246074,FALSE,"primary","model"
