age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,model_id
25,1518689,0.0819372811116737,0.0731978283733418,-0.00873945273833188,0.893339727413938,8.47809399068297e-05,0.000330107962550395,0.000341559406037767,0.00463604917510802,0.0817712669034354,0.0821036022293111,0.0725534564420567,0.0738474675090155,-0.00940889687274679,-0.00807000860391696,0.88525917297112,0.901494040324442,81.9372811116737,73.1978283733418,-8.73945273833188,81.7712669034354,82.1036022293111,72.5534564420567,73.8474675090155,-9.40889687274679,-8.07000860391696,-9.816581897864,-7.66232357879975,supp_3lvl_continued_vs_none
26,1632495,0.0817403646821816,0.0745324455184478,-0.00720791916373384,0.911819341744323,8.37528838630191e-05,0.000338839150446384,0.000349752507341001,0.00466903325658638,0.0815763621292265,0.0819046675450195,0.0738710474422635,0.0751992845329454,-0.00789342148162478,-0.0065224168458429,0.903513221194233,0.920201821596053,81.7403646821816,74.5324455184478,-7.20791916373384,81.5763621292265,81.9046675450195,73.8710474422635,75.1992845329454,-7.89342148162478,-6.5224168458429,-8.3108857856948,-6.10495254177288,supp_3lvl_continued_vs_none
27,1737293,0.0814686275836121,0.0760751650964158,-0.00539346248719635,0.933797062167753,8.7912598637795e-05,0.000368659199752277,0.000379618998763124,0.00497234830197477,0.0812964880238153,0.0816410992458408,0.0753557478639615,0.0768008800908636,-0.00613750205261923,-0.00464942292177348,0.924740828490121,0.942941985958222,81.4686275836121,76.0751650964158,-5.39346248719635,81.2964880238154,81.6410992458408,75.3557478639615,76.8008800908636,-6.13750205261923,-4.64942292177348,-6.59061497619834,-4.19630999819437,supp_3lvl_continued_vs_none
28,1831931,0.0809908860650013,0.0777109163704082,-0.00327996969459304,0.95950199023677,8.84982896660768e-05,0.000382956190417616,0.000393605240263418,0.00505453275969494,0.0808176018864984,0.0811645089811419,0.0769636475799574,0.0784648239011287,-0.00405142178963558,-0.00250851759955051,0.950043418772801,0.969054730632781,80.9908860650013,77.7109163704082,-3.27996969459304,80.8176018864984,81.1645089811419,76.9636475799574,78.4648239011287,-4.05142178963558,-2.50851759955051,-4.52122867952493,-2.03871070966116,supp_3lvl_continued_vs_none
29,1897021,0.0806296530747424,0.0796924960863651,-0.000937156988377291,0.988377018222954,8.39574236596542e-05,0.000375578031462948,0.000385396608521444,0.00483331358095663,0.0804652526618383,0.0807943598651264,0.0789594751234838,0.0804317277946732,-0.0016925204608432,-0.000181793515911379,0.979058212360429,0.997784521715106,80.6296530747424,79.6924960863651,-0.937156988377291,80.4652526618383,80.7943598651264,78.9594751234838,80.4317277946732,-1.6925204608432,-0.181793515911379,-2.15252953466089,0.278215557906308,supp_3lvl_continued_vs_none
30,1917984,0.0803253384548316,0.081894559878966,0.00156922142413432,1.01953582087944,7.71374823202281e-05,0.000359775068473269,0.000368512053303412,0.00450385674618044,0.0801742815621929,0.0804766550541251,0.0811921730393609,0.0826024767401018,0.000846951071790729,0.00229149177647791,1.01057557940687,1.02857550809451,80.3253384548316,81.894559878966,1.56922142413432,80.1742815621929,80.4766550541251,81.1921730393609,82.6024767401018,0.846951071790729,2.29149177647791,0.40709538914446,2.73134745912418,supp_3lvl_continued_vs_none
31,1910781,0.0798846416519157,0.0840384991206932,0.00415385746877754,1.05199819868852,7.24559735374813e-05,0.000355952291021652,0.00036382887622617,0.00433881850591394,0.0797427457716184,0.0800267680675864,0.0833434704426571,0.0847387880636695,0.00344076597483857,0.00486694896271652,1.04309001271365,1.0609824622563,79.8846416519157,84.0384991206932,4.15385746877754,79.7427457716184,80.0267680675864,83.3434704426571,84.7387880636695,3.44076597483857,4.86694896271652,3.00650012848611,5.30121480906897,supp_3lvl_continued_vs_none
32,1820180,0.0796689950518719,0.0864111254324322,0.00674213038056031,1.08462677828647,7.38858182949979e-05,0.000381205532279532,0.000388910013642954,0.0045155949861477,0.0795243016762289,0.0798139288673402,0.085666895025211,0.0871612049945447,0.00597988076059313,0.00750438000052748,1.07506974777806,1.0942687677776,79.6689950518719,86.4111254324322,6.74213038056031,79.5243016762289,79.8139288673402,85.666895025211,87.1612049945447,5.97988076059313,7.50438000052748,5.51567808932244,7.96858267179817,supp_3lvl_continued_vs_none
33,1685024,0.0798331888203818,0.0891055340654716,0.00927234524508981,1.11614649724129,8.12384992675611e-05,0.00043259136040689,0.000440790774229143,0.00496827275383689,0.0796741092258447,0.0799925584307361,0.0882613018987446,0.0899570446924489,0.00840841120288316,0.0101362792872965,1.10533061532822,1.12706821472965,79.8331888203818,89.1055340654716,9.27234524508981,79.6741092258447,79.9925584307361,88.2613018987446,89.9570446924489,8.40841120288316,10.1362792872965,7.88228369860014,10.6624067915795,supp_3lvl_continued_vs_none
34,1525309,0.0804710547110575,0.0921504978811893,0.0116794431701318,1.14513843781554,9.08115908065739e-05,0.000491832884173794,0.000500780199524523,0.00546311424587678,0.0802932467803698,0.0806492218659569,0.0911910427417907,0.0931190134686389,0.0106979320148929,0.0126609543253706,1.1329422715807,1.15746589623937,80.4710547110575,92.1504978811893,11.6794431701318,80.2932467803698,80.6492218659569,91.1910427417907,93.1190134686389,10.6979320148929,12.6609543253706,10.1002011820937,13.2586851581698,supp_3lvl_continued_vs_none
