lower,upper,lower_closed,upper_closed,kind,classification,model_id,covariance
38.0915867518851,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_live,HC0
15,17.4883253185642,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_live,model
17.4883253185642,27.8147805865645,FALSE,FALSE,interval,strict_negative,reporting_years_shared_augmented_live,model
27.8147805865645,34.2769843625786,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_live,model
34.2769843625786,38.1598295280427,FALSE,FALSE,interval,strict_positive,reporting_years_shared_augmented_live,model
38.1598295280427,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_live,model
15,17.4095777449861,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_inclusive,HC0
17.4095777449861,27.7617644701178,FALSE,FALSE,interval,strict_negative,reporting_years_shared_augmented_inclusive,HC0
27.7617644701178,33.9688049269122,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_inclusive,HC0
33.9688049269122,38.1398748956579,FALSE,FALSE,interval,strict_positive,reporting_years_shared_augmented_inclusive,HC0
38.1398748956579,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_inclusive,HC0
15,17.4219080704607,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_inclusive,model
17.4219080704607,27.7602479176519,FALSE,FALSE,interval,strict_negative,reporting_years_shared_augmented_inclusive,model
27.7602479176519,33.9244359247785,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_inclusive,model
33.9244359247785,38.2037086382229,FALSE,FALSE,interval,strict_positive,reporting_years_shared_augmented_inclusive,model
38.2037086382229,45,TRUE,TRUE,interval,zero_compatible,reporting_years_shared_augmented_inclusive,model
15,15.9238457148392,TRUE,TRUE,interval,zero_compatible,age_spec_fewer_age_knots,HC0
15.9238457148392,30.4059204063956,FALSE,FALSE,interval,strict_negative,age_spec_fewer_age_knots,HC0
30.4059204063956,33.630001607112,TRUE,TRUE,interval,zero_compatible,age_spec_fewer_age_knots,HC0
33.630001607112,42.928805569963,FALSE,FALSE,interval,strict_positive,age_spec_fewer_age_knots,HC0
42.928805569963,45,TRUE,TRUE,interval,zero_compatible,age_spec_fewer_age_knots,HC0
15,15.9339624457434,TRUE,TRUE,interval,zero_compatible,age_spec_fewer_age_knots,model
15.9339624457434,30.4122217031562,FALSE,FALSE,interval,strict_negative,age_spec_fewer_age_knots,model
