age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000,contrast,covariance,model_id,fit_n
40,15853,0.13090024983884,0.141162639678694,0.0102623898398535,1.07839855044194,0.00214467844598963,0.00123380898554048,0.00248091214625653,0.0186176458441883,0.126753777756683,0.135161369834784,0.138761683017776,0.143598212782597,0.00539989138438273,0.0151248882953243,1.03975717640821,1.11847598649198,130.90024983884,141.162639678694,10.2623898398535,126.753777756683,135.161369834784,138.761683017776,143.598212782597,5.39989138438273,15.1248882953243,2.43867669440183,18.0861029853052,primary,HC0,primary_main,1980559
41,10370,0.136894144511179,0.147467318695936,0.0105731741847568,1.07723613177548,0.00282471388355571,0.00162975315595661,0.00326586819349312,0.023440086934595,0.131451405675728,0.142525259625716,0.144301586959851,0.150690270783205,0.00417219014725538,0.0169741582222582,1.02886566321268,1.12788066031777,136.894144511179,147.467318695936,10.5731741847568,131.451405675728,142.525259625716,144.301586959851,150.690270783205,4.17219014725538,16.9741582222582,0.274052567210161,20.8722958023034,primary,HC0,primary_main,1980559
42,6233,0.142685409734275,0.153382320308886,0.0106969105746115,1.07496849603987,0.00365064720493954,0.00211427260621313,0.00422232431418503,0.0290863391342967,0.135678711160398,0.149991154943838,0.149284100618715,0.157572207552566,0.00242130698776109,0.018972514161462,1.01540056300319,1.13803095013116,142.685409734275,153.382320308886,10.6969105746115,135.678711160398,149.991154943838,149.284100618715,157.572207552566,2.42130698776109,18.972514161462,-2.61845582846538,24.0122769776884,primary,HC0,primary_main,1980559
43,3273,0.148485067019355,0.159173638092044,0.0106885710726883,1.0719841482194,0.00461116680681519,0.00267892657980992,0.00533613556445206,0.0353429996796808,0.139672524190519,0.157751677843317,0.153992973698737,0.164494703341533,0.00022993754973894,0.0211472045956376,1.00024029781962,1.14887394213035,148.485067019355,159.173638092044,10.6885710726883,139.672524190519,157.751677843317,153.992973698737,164.494703341533,0.22993754973894,21.1472045956376,-6.13926945544579,27.5164116008224,primary,HC0,primary_main,1980559
44,1704,0.155323414445954,0.165881678167569,0.0105582637216149,1.06797599550124,0.00568207411062374,0.00330625308471221,0.00657665799013261,0.041675929939253,0.14450963196518,0.166788637065587,0.159502527993527,0.172463606021503,-0.00233174907768257,0.0234482765209124,0.984207965172754,1.15887370081044,155.323414445954,165.881678167569,10.5582637216149,144.50963196518,166.788637065587,159.502527993527,172.463606021504,-2.33174907768257,23.4482765209124,-10.1816426262094,31.2981700694392,primary,HC0,primary_main,1980559
45,701,0.153987749292273,0.163987799942804,0.01000005065053,1.06494055985941,0.00660966410797522,0.00385157752705085,0.00765173910554984,0.0489398619568761,0.141473928164726,0.167392640550557,0.156577818003925,0.171677077134316,-0.00499708241544438,0.0249971837165044,0.967537222859383,1.17214962818902,153.987749292274,163.987799942804,10.00005065053,141.473928164726,167.392640550557,156.577818003925,171.677077134316,-4.99708241544438,24.9971837165044,-14.1301918959413,34.1302931970014,primary,HC0,primary_main,1980559
15,1199,0.0732933540090058,0.0659799932269797,-0.00731336078202605,0.900217954534767,0.00340019488087021,0.00211452592257008,0.00400142830376013,0.0563461264581688,0.0669018173412224,0.0802430017032037,0.0619546079735363,0.0702473343202351,-0.0151560161441151,0.000529294580063013,0.806094133946897,1.00533217094487,73.2933540090058,65.9799932269797,-7.31336078202605,66.9018173412224,80.2430017032037,61.9546079735363,70.2473343202351,-15.1560161441151,0.529294580063013,-19.9321176646301,5.30539610057798,primary,model,primary_main,1980559
16,4170,0.0745564975828868,0.0663290800602946,-0.00822741752259223,0.889648551242022,0.00270271672281524,0.00166685613948741,0.0031728681214901,0.0440725799002509,0.0694292589452712,0.080029811323673,0.0631358946724842,0.0696717549744382,-0.0144461247684081,-0.00200871027677638,0.81602568336672,0.969913767250071,74.5564975828868,66.3290800602946,-8.22741752259223,69.4292589452712,80.029811323673,63.1358946724842,69.6717549744383,-14.4461247684081,-2.00871027677638,-18.2332575392745,1.77842249409002,primary,model,primary_main,1980559
17,11232,0.0763884367545807,0.0672315409162996,-0.00915689583828109,0.880127199517118,0.00204147643298463,0.00125116439408396,0.00239194720308223,0.0325312547530291,0.0724821085829092,0.0804870225519138,0.0648204139112986,0.0697256677708232,-0.0138450262092436,-0.00446876546731862,0.825761800030115,0.938071835366561,76.3884367545807,67.2315409162996,-9.15689583828109,72.4821085829092,80.4870225519138,64.8204139112986,69.7256677708232,-13.8450262092436,-4.46876546731862,-16.7000524164849,-1.61373926007725,primary,model,primary_main,1980559
18,29922,0.0795174249997921,0.0693450950760196,-0.0101723299237725,0.872074203562312,0.00146911703152033,0.000897834400663961,0.00172278298220206,0.0225748028138756,0.076685222619928,0.0824448885468825,0.0676059026210272,0.0711256160372467,-0.0135489225220671,-0.00679573732547797,0.834329756453814,0.911526180908712,79.5174249997922,69.3450950760196,-10.1723299237725,76.685222619928,82.4448885468825,67.6059026210272,71.1256160372467,-13.5489225220671,-6.79573732547797,-15.6052348676064,-4.73942497993861,primary,model,primary_main,1980559
